,date,article,views,comments
225,"Sep 7th 2013, 8:15 AM","Bankers' answers on Priory Hall prompt ""massive worry"" among residents","16,540  Views", 4 Comments
226,"Sep 4th 2013, 10:59 PM",Ulster Bank CEO: ‘It costs money to live in a house’… TDs: ‘We know’…,"10,694  Views", 12 Comments
227,"Sep 4th 2013, 2:35 PM",LIVE: Ulster Bank chief Jim Brown faces Finance Committee,"25,164  Views", 65 Comments
228,"Sep 3rd 2013, 11:00 PM",Here’s What Happened Today: Tuesday,"6,467  Views", 17 Comments
229,"Sep 3rd 2013, 8:14 PM",AIB chief is 'not aware of' any internal investigations into former directors,"10,178  Views", 109 Comments
230,"Sep 3rd 2013, 4:46 PM",AIB says 4% of its total mortgage holders are in 'strategic default',"5,632  Views", 37 Comments
231,"Sep 3rd 2013, 6:30 AM",Finance Committee to press BoI chief on banking inquiry response,"8,786  Views", 96 Comments
232,"Sep 2nd 2013, 3:32 PM","""Arrogant, Inhuman, Bastards"" - Ivan Yates takes aim at banks over his bankruptcy","3,793  Views", 4 Comments
233,"Aug 29th 2013, 5:25 PM",TDs and Senators coming back next week to grill bankers over mortgage arrears,"10,879  Views", 27 Comments
234,"Aug 28th 2013, 10:40 AM",One in four pubs have cut opening hours and half have seen turnover drop,"4,222  Views", 23 Comments
235,"Aug 21st 2013, 10:36 AM",Complaints to Financial Services Ombudsman up almost a third,"9,633  Views", 96 Comments
236,"Aug 13th 2013, 8:34 AM",Community 'stunned' by armed robberies in west Dublin,"3,761  Views", 64 Comments
237,"Aug 12th 2013, 8:59 PM",Cash-in-transit raider flees on foot after getaway car fails to start,"10,003  Views", 57 Comments
238,"Aug 2nd 2013, 7:52 AM",AIB chief says that 20 per cent of those in mortgage arrears are 'strategic defaulters',"14,828  Views", 75 Comments
239,"Aug 1st 2013, 7:50 AM",AIB posts half-year loss of €572 million,"8,876  Views", 41 Comments
240,"Jul 11th 2013, 7:00 AM",Column: Banking has a cost – but the price is too high,"7,368  Views", 131 Comments
241,"Jul 7th 2013, 7:45 AM",AIB loses money on ATM withdrawals,84  Views, 3 Comments
242,"Jul 1st 2013, 8:06 AM",Were AIB 'lending money to every cowboy in town'?,"7,850  Views ", 34 Comments
243,"Jun 24th 2013, 9:15 PM",AIB is increasing its bank charges from the end of August,"22,759  Views", 68 Comments
244,"Jun 24th 2013, 7:57 PM",The Evening Fix... now with added memes and genes,"12,639  Views", 13 Comments
245,"Jun 22nd 2013, 7:00 AM","NAMA and the banks are tapping debtors’ phones and emails, claims TD","7,606  Views ", 55 Comments
246,"Jun 21st 2013, 9:14 AM","Noonan: Taxpayers put lots of money into BOI and AIB, now we could get some back","28,103  Views", 90 Comments
247,"Jun 13th 2013, 10:00 PM",Why is a former AIB building bought by the State ten years ago still empty? – Patrick Nulty TD asks,"5,166  Views", 25 Comments
248,"Jun 5th 2013, 2:25 PM",Increase in AIB's mortgage interest rates takes effect today,"8,592  Views", 2 Comments
249,"May 29th 2013, 3:15 PM",Letter: 'Why I am closing my current account',"8,011  Views", 31 Comments
250,"May 24th 2013, 10:00 AM",Romantic getaways helping over half of Irish hotels increase turnover,"11,100  Views", 28 Comments
251,"May 10th 2013, 7:50 PM",The Evening Fix... now with added ways to leave your job,"8,633  Views", 3 Comments
252,"May 10th 2013, 3:09 PM",Visa Debit cards and ATMs 'back working' after lunchtime outage,"45,113  Views", 66 Comments
253,"May 7th 2013, 8:11 AM",AIB 'on track' to achieve target pre-provision operating profit,"10,261  Views", 139 Comments
254,"May 4th 2013, 7:57 PM",The Evening Fix... now with added man getting swallowed by a hippo,"12,462  Views", 29 Comments
255,"May 4th 2013, 3:29 PM",AIB Deputy Chairman: I'm uncomfortable with banks not passing on mortgage cuts,"16,523  Views", 10 Comments
256,"Apr 25th 2013, 12:01 PM","Gilmore says AIB mortgage hike is ""a commercial decision""","4,285  Views", 98 Comments
257,"Apr 24th 2013, 9:20 PM",Check out this ad that was shot entirely on an iPhone 5,"22,740  Views", 115 Comments
258,"Apr 24th 2013, 7:50 PM",The Evening Fix… now with added Jedward wanting your number,"12,194  Views", 22 Comments
259,"Apr 24th 2013, 5:52 PM","AIB, EBS and Haven variable rate mortgages to increase from June","10,828  Views", 74 Comments
260,"Apr 22nd 2013, 8:30 AM",Ulster Bank drops free banking with €4 monthly charge for current accounts,"16,487  Views", 29 Comments
261,"Apr 19th 2013, 9:02 AM",Consumers shopping more often to hunt for bargains,"6,991  Views", 54 Comments
262,"Mar 29th 2013, 9:58 AM","After four years and €64.1 billion, bank guarantee is finally scrapped","12,400  Views", 4 Comments
263,"Mar 27th 2013, 10:17 AM",AIB recorded pre-tax loss of €3.8 billion in 2012,"18,855  Views", 34 Comments
264,"Mar 14th 2013, 7:00 AM",Column: New restructuring targets for banks don't go far enough to help distressed borrowers,"5,943  Views", 56 Comments
265,"Mar 9th 2013, 7:48 PM",The Evening Fix... now with added dancing in speedos,"17,534  Views", 31 Comments
266,"Mar 9th 2013, 4:00 PM",Doherty condemns AIB use of non-disclosure agreement for mortgage deals,"4,517  Views", 0 Comments
267,"Mar 4th 2013, 3:49 PM","Key meeting in Brussels to discuss whether AIB, BoI costs can be recouped","11,252  Views ", 4 Comments
268,"Feb 19th 2013, 10:53 AM",AIB commits to working out deals for mortgage holders in arrears,23  Views, 0 Comments
269,"Feb 17th 2013, 7:00 AM",In Pics: All-Ireland club semi-finals,"9,797  Views", 0 Comments
270,"Feb 16th 2013, 3:44 PM","As it happened: Dr Crokes v Ballymun Kickhams, All-Ireland Club SFC semi-final","13,031  Views", 29 Comments
271,"Feb 15th 2013, 12:38 PM",Chris O'Dowd's childhood hero takes centre stage,"7,340  Views", 31 Comments
272,"Feb 8th 2013, 9:30 AM",Here's your guide to tomorrow's AIB All-Ireland club SHC semi-finals,"4,053  Views", 9 Comments
273,"Feb 6th 2013, 1:45 PM",Tannion set for All-Ireland semi-final battle with St Thomas,"6,028  Views", 52 Comments
274,"Jan 29th 2013, 8:52 PM",200 jobs to go at EBS Building Society,"12,888  Views", 56 Comments
275,"Jan 3rd 2013, 6:55 PM",Ulster Bank the latest to announce branch closures,"1,703  Views", 37 Comments
276,"Dec 20th 2012, 9:48 AM",Oireachtas agenda: Seven Bills to be wrapped up before Christmas break,"2,592  Views", 85 Comments
277,"Dec 20th 2012, 8:09 AM",Bank directors to be asked if AIB and BOI are acting in public interest,"9,099  Views", 24 Comments
278,"Dec 16th 2012, 11:00 AM",Poll: Will the government get a deal on promissory notes?,"12,903  Views", 11 Comments
279,"Dec 12th 2012, 11:33 AM",EU approves six-month extension of Ireland's bank guarantee,"2,771  Views", 9 Comments
280,"Dec 8th 2012, 3:22 PM",Shatter welcomes AIB comments on mortgage write-offs,"4,497  Views", 93 Comments
281,"Nov 28th 2012, 3:13 PM",AIB raises €500 million in auction of three-year bond,"6,871  Views", 56 Comments
282,"Nov 27th 2012, 8:30 AM",AIB says 'substantial progress' made on restructuring,"5,922  Views", 103 Comments
283,"Nov 26th 2012, 6:30 AM",AIB to implement next-day SME loan decisions,"12,345  Views", 34 Comments
284,"Nov 16th 2012, 8:52 AM","Bankers' pay: 1,262 staff at AIB earning six-figure packages","4,440  Views", 55 Comments
285,"Nov 7th 2012, 10:36 AM",Taoiseach welcomes cut to ex-AIB chief's pension,"3,717  Views", 71 Comments
286,"Nov 6th 2012, 4:13 PM",AIB chief executive asks senior executives to give up pensions,"3,221  Views", 16 Comments
287,"Oct 26th 2012, 6:59 PM",Executives of three guaranteed banks to face Oireachtas committee,"8,950  Views", 18 Comments
288,"Oct 26th 2012, 11:49 AM",AIB to permanently close 44 branches across country today,"5,446  Views", 7 Comments
289,"Oct 18th 2012, 4:37 PM","1,700 bankers in state covered banks paid over €100,000","8,743  Views", 100 Comments
290,"Oct 16th 2012, 6:16 PM",NAMA reports €222 million profit for half-year,"4,688  Views", 9 Comments
291,"Oct 12th 2012, 3:53 PM",Van Rompuy: Ireland could get deal on bank debts before new watchdog,"15,763  Views", 7 Comments
292,"Oct 9th 2012, 8:04 PM",The Evening Fix... now with added School Around the Corner,"9,666  Views", 107 Comments
293,"Oct 9th 2012, 4:15 PM",Kenny says AIB mortgage hike necessary to avoid further taxpayer bailout,"5,804  Views", 56 Comments
294,"Oct 9th 2012, 6:45 AM",Banks repay €3.3 billion in fees from State guarantee schemes,"4,193  Views", 98 Comments
295,"Oct 4th 2012, 7:50 PM",The Evening Fix...now with added '80s childhood memories,"8,980  Views", 102 Comments
296,"Oct 4th 2012, 5:55 PM",Noonan: There is no way of verifying who AIB bondholders are,"9,125  Views", 60 Comments
297,"Oct 4th 2012, 2:08 PM",‘No ministerial involvement’ in selecting primary care sites – Gilmore,"5,647  Views", 52 Comments
298,"Oct 4th 2012, 7:00 AM",Column: Why banks have begun picking our pockets (and more is still to come),"12,874  Views", 138 Comments
299,"Oct 3rd 2012, 12:28 PM",Troika forced Ireland into repaying €1bn AIB bond - Quinn,"10,492  Views", 48 Comments
300,"Oct 3rd 2012, 8:57 AM",AIB to increase mortgage interest rates by 0.5pc,"3,760  Views", 49 Comments
301,"Oct 1st 2012, 3:01 PM",GALLERY: Protestors occupy AIB branches over €1 billion bond repayment,37  Views, 88 Comments
302,"Oct 1st 2012, 10:08 AM",AIB repays €1 billion to unsecured bondholders today,"6,664  Views ", 3 Comments
303,"Sep 24th 2012, 5:28 PM",Bank of Ireland criticised over changes to account charges,"9,336  Views", 77 Comments
304,"Sep 13th 2012, 12:14 PM",One in three people who apply for mortgages are turned down,"6,581  Views", 7 Comments
305,"Sep 4th 2012, 1:22 PM",Infographic: How much have the Irish put into their banks?,"7,780  Views ", 30 Comments
306,"Sep 3rd 2012, 8:00 PM",The Evening Fix... now with added beer concentrate,"10,796  Views ", 21 Comments
307,"Sep 3rd 2012, 6:39 PM",AIB hits back at claims it 'harassed and intimidated' Ivan Yates,"16,678  Views", 1 Comment
308,"Aug 19th 2012, 1:19 PM",GALLERY: The 15 most valuable companies on the Irish Stock Exchange,"11,174  Views", 22 Comments
309,"Aug 9th 2012, 9:52 AM",AIB apologises for misreporting of customer loan repayment data,"13,524  Views", 60 Comments
310,"Aug 8th 2012, 9:35 PM",Irish Credit Bureau corrects inaccurate personal reports sent by AIB,"9,230  Views", 18 Comments
311,"Jul 27th 2012, 8:01 PM",The Evening Fix: Friday,"11,558  Views", 19 Comments
312,"Jul 27th 2012, 10:22 AM",AIB confirms branch closures as operating loss cut by 64 per cent,"8,132  Views", 23 Comments
313,"Jul 16th 2012, 10:11 AM",Poll: Do you use online banking?,"15,015  Views", 46 Comments
314,"Jul 7th 2012, 4:15 PM",AIB: reports of 90 branch closures is 'total speculation',"17,731  Views", 42 Comments
315,"Jul 6th 2012, 1:11 PM",Permanent TSB to reduce SVR mortgage interest rates,"3,430  Views", 9 Comments
316,"Jul 5th 2012, 2:59 PM",Passing ECB cut on to customers a 'commercial decision for each bank' - Dept of Finance,"9,250  Views", 17 Comments
317,"Jun 28th 2012, 9:28 AM",Staff reject AIB plans for pay freeze and pension changes,"4,827  Views", 41 Comments
318,"Jun 27th 2012, 11:36 AM",Government calls banks in over mortgage arrears,"5,758  Views ", 9 Comments
319,"Jun 18th 2012, 6:30 AM","Over half of loan applications refused by bailed-out banks, says ISME","7,327  Views", 3 Comments
320,"Jun 15th 2012, 12:28 PM",Another pension scheme may bite the dust: Why is it happening?,"10,020  Views", 15 Comments
321,"Jun 14th 2012, 2:04 PM","AIB to cut managers' pay, freeze staff salaries and change pensions","4,527  Views", 17 Comments
322,"Jun 5th 2012, 9:42 AM",Credit Reviewer says banks need to show more 'risk-taking' in lending,"5,040  Views", 3 Comments
323,"May 27th 2012, 7:59 PM",The Daily Fix: Sunday,"4,868  Views", 11 Comments
324,"May 27th 2012, 5:47 PM",Noonan: Nobody will buy AIB until there's 'more visibility' about its assets,"3,915  Views", 14 Comments
325,"May 22nd 2012, 1:11 PM",Ulster Bank says banking charges 'under review' following reported return,"3,246  Views", 17 Comments
326,"May 18th 2012, 7:55 PM",The Daily Fix: Friday,"2,192  Views", 34 Comments
327,"May 18th 2012, 5:46 PM",Government talks to AIB about public-private partnership for student loans,"5,159  Views", 14 Comments
328,"May 8th 2012, 1:09 PM",AIB launches €250m investment programme for Agri-sector,"2,487  Views ", 13 Comments
329,"May 2nd 2012, 10:54 AM","Google is Ireland's most reputable company, while John Player, Quinn and AIB come last","5,485  Views", 31 Comments
330,"Apr 30th 2012, 11:00 AM",Priory Hall residents: Mortgages can’t be dealt with on case-by-case basis,"1,481  Views", 38 Comments
331,"Apr 27th 2012, 7:51 AM","Around 11,500 AIB credit card customers to be refunded over €3.1m","3,236  Views ", 6 Comments
332,"Apr 23rd 2012, 11:24 AM",Ireland recorded a 13.1 per cent deficit last year,"7,515  Views", 117 Comments
333,"Apr 21st 2012, 12:57 PM",24 AIB employees continue to earn basic salaries over €250k,"3,565  Views", 9 Comments
334,"Apr 15th 2012, 11:47 AM",Public demand for full investigation into banking crisis to be answered,"4,635  Views", 27 Comments
335,"Apr 11th 2012, 8:06 PM",The Daily Fix: Wednesday,"2,631  Views", 41 Comments
336,"Apr 11th 2012, 8:18 AM",€1.5billion to be paid to senior AIB bondholders today,"3,199  Views", 152 Comments
