,date,article,views,comments
47,"Aug 20th 2018, 6:10 AM",Most businesses are very worried about Brexit but only a small number have a plan to handle it,"7,008  Views", 13 Comments
48,"Jul 27th 2018, 12:49 PM",'Somebody in particular will need a few extra bodyguards that weekend',"12,973  Views", 2 Comments
49,"May 28th 2018, 2:44 PM",AIB extend sponsorship of All-Ireland Football Championship through to 2023,"2,885  Views", 2 Comments
50,"Apr 20th 2018, 9:43 PM",'There shouldn't be bonuses for bankers': Taoiseach takes stance on bankers' pay,"22,620  Views", 65 Comments
51,"Apr 18th 2018, 5:15 PM",Italian legend Vialli and ex-Premier League boss Redknapp to manage GAA clubs,"55,608  Views", 24 Comments
52,"Apr 5th 2018, 12:05 AM",Israeli government minister called on AIB to shut down Irish pro-Palestine accounts,"38,756  Views", 175 Comments
53,"Apr 2nd 2018, 7:00 PM","'It's a bit scary' - in the buildup to Brexit, cross-border mortgages are looking increasingly hard to come by","20,099  Views", 13 Comments
54,"Mar 22nd 2018, 1:41 PM",Even PTSB customers who are meeting revised loan terms will have mortgages sold to vulture funds,"20,969  Views", 100 Comments
55,"Jan 16th 2018, 5:08 PM","Time spent on video analysis, 'ridiculous' drink bans and regrets over 2017 Munster final","18,049  Views", 1 Comment
56,"Dec 20th 2017, 3:58 PM",Here's how many customers each of the main banks say they overcharged,"22,478  Views", 26 Comments
57,"Nov 17th 2017, 6:10 AM",€15 million loan allows Tuath purchase up to 190 vacant homes to rent to families all over Ireland,"12,980  Views", 24 Comments
58,"Nov 3rd 2017, 6:30 PM",Margaretta D'Arcy tried to perform a 'citizen's arrest' of AIB bosses over the tracker scandal,"72,041  Views", 105 Comments
59,"Oct 24th 2017, 1:40 PM",Tracker mortgage motion which will ban bonuses for bankers to be backed by government,"13,879  Views", 57 Comments
60,"Oct 21st 2017, 9:29 PM",'There was a lot of teary-eyed lads:' Roscommon footballer on discussing his brother's cancer battle,"31,887  Views", 7 Comments
61,"Oct 14th 2017, 3:00 PM","Nearly a decade after its bailout, AIB wants to turn its customers into 'fans'","39,399  Views", 59 Comments
62,"Oct 13th 2017, 9:14 AM","Nearly a decade after its bailout, AIB wants to turn its customers into 'fans'",632  Views, 1 Comment
63,"Oct 1st 2017, 12:05 AM",Broadcaster Ivan Yates to sue AIB,"90,679  Views", 0 Comments
64,"Sep 27th 2017, 1:44 PM",A new scheme will allow mortgage holders in long-term arrears to stay in their homes,"19,322  Views", 88 Comments
65,"Sep 22nd 2017, 6:10 AM",Bank ad ordered to be changed after child shown wearing puffy jacket in car seat,"107,938  Views", 84 Comments
66,"Sep 15th 2017, 1:49 PM",AIB cuts its standard variable mortgage rates,"23,999  Views", 49 Comments
67,"Sep 14th 2017, 11:30 AM",Missing AIB customer details found after bag handed into Galway business,"24,592  Views", 23 Comments
68,"Sep 12th 2017, 10:52 AM",Details of 550 customer accounts 'mislaid' by AIB,"21,809  Views", 46 Comments
69,"Aug 22nd 2017, 10:20 AM",'It's a proper family occasion' - Jeff and Kammy pay Dick Clerkin's club a visit,"10,216  Views", 3 Comments
70,"Jun 23rd 2017, 1:15 PM",The government confirms it sold around 28.75% of AIB for €3.4 billion,"30,185  Views", 131 Comments
71,"Jun 13th 2017, 9:34 AM","Government urged to use €3.8 billion from AIB sale to 'build homes, hospitals and schools'","11,613  Views", 48 Comments
72,"Jun 5th 2017, 8:36 PM",'Not acceptable' that AIB could pay no tax on profits for up to 30 years,"28,349  Views", 46 Comments
73,"May 30th 2017, 8:46 PM",Government to sell off a 25% stake in AIB,"18,108  Views", 69 Comments
74,"May 19th 2017, 8:41 AM",'Contempt for Dáil Éireann': Government still plans to sell AIB shares despite vote against it,"17,168  Views", 53 Comments
