Date,Meta,Amazon,Apple,Netflix,Google
20/01/2022,316.559998,151.667496,164.509995,508.25,133.5065
21/01/2022,303.170013,142.643005,162.410004,397.5,130.091995
24/01/2022,308.709991,144.544006,161.619995,387.149994,130.371994
25/01/2022,300.149994,139.985992,159.779999,366.420013,126.735497
26/01/2022,294.630005,138.872498,159.690002,359.700012,129.240005
27/01/2022,294.640015,139.637497,159.220001,386.700012,129.121002
28/01/2022,301.709991,143.977997,170.330002,384.359985,133.289505
31/01/2022,313.26001,149.573502,174.779999,427.140015,135.698502
01/02/2022,319,151.193497,174.610001,457.130005,137.878494
02/02/2022,323,150.612503,175.839996,429.480011,148.036499
03/02/2022,237.759995,138.845505,172.899994,405.600006,142.650497
04/02/2022,237.089996,157.639496,172.389999,410.170013,143.016006
07/02/2022,224.910004,157.935501,171.660004,402.100006,138.938004
08/02/2022,220.179993,161.413498,174.830002,403.529999,139.212997
09/02/2022,232,161.189499,176.279999,412.890015,141.453003
10/02/2022,228.070007,159.003494,172.119995,406.269989,138.602493
11/02/2022,219.550003,153.293503,168.639999,391.309998,134.130005
14/02/2022,217.699997,155.167007,168.880005,396.570007,135.300003
15/02/2022,221,156.510498,172.789993,407.459991,136.425507
16/02/2022,216.539993,158.100494,172.550003,398.079987,137.487503
17/02/2022,207.710007,154.652496,168.880005,386.670013,132.308502
18/02/2022,206.160004,152.601501,167.300003,391.290009,130.467499
22/02/2022,202.080002,150.197495,164.320007,377.380005,129.402496
23/02/2022,198.449997,144.826996,160.070007,367.459991,127.584999
24/02/2022,207.600006,151.358002,162.740005,390.029999,132.673492
25/02/2022,210.479996,153.788498,164.850006,390.799988,134.519501
28/02/2022,211.029999,153.563004,165.119995,394.519989,134.891006
01/03/2022,203.490005,151.141998,163.199997,386.23999,134.167999
02/03/2022,208.110001,152.052505,166.559998,380.029999,134.751495
03/03/2022,202.970001,147.898499,166.229996,368.070007,134.307999
04/03/2022,200.059998,145.641006,163.169998,361.730011,132.121994
07/03/2022,187.470001,137.453003,159.300003,350.26001,126.4645
08/03/2022,190.289993,136.014496,157.440002,341.76001,127.278503
09/03/2022,198.5,139.279007,162.949997,358.790009,133.865997
10/03/2022,195.210007,146.817505,158.520004,356.769989,132.682007
11/03/2022,187.610001,145.524506,154.729996,340.320007,130.475494
14/03/2022,186.630005,141.852997,150.619995,331.01001,126.740997
15/03/2022,192.029999,147.366501,155.089996,343.75,129.660507
16/03/2022,203.630005,153.104004,159.589996,357.529999,133.690506
17/03/2022,207.839996,157.238998,160.619995,371.399994,134.600494
18/03/2022,216.490005,161.250504,163.979996,380.600006,136.801498
21/03/2022,211.490005,161.491501,165.380005,374.589996,136.4785
22/03/2022,216.649994,164.889008,168.820007,382.920013,140.277496
23/03/2022,213.460007,163.408005,170.210007,374.48999,138.503494
24/03/2022,219.570007,163.649506,174.070007,375.709991,141.311996
