,date,views,comments,article,tag,sentiment_score,sentiment_tag
280,2021-02-10,18494,16,"Drop in overall number of Covid-19 patients in hospitals, but slight increase in people in ICU",General news,-0.08333333333333333,Negative
281,2021-02-09,41244,108,WHO mission says theory that Covid-19 leaked from a lab is 'extremely unlikely',General news,-0.5,Negative
282,2021-02-09,32007,57,Number of people with Covid-19 in hospital continues to decrease,General news,0.0,Neutral
283,2021-02-09,40246,0,"Debunked: Yes, the virus that causes Covid-19 has been isolated and photographed",General news,0.0,Neutral
284,2021-02-08,67362,45,'We have passed what is the worst of this disease': The key points you need to know from tonight's NPHET briefing,General news,-0.5,Negative
285,2021-02-08,89773,83,Coronavirus: Six deaths and 829 new cases confirmed in Ireland,Daily press announcement,0.2681818181818182,Positive
286,2021-02-08,47751,68,People turned back at border with Northern Ireland as new rules come into effect,General news,0.06818181818181818,Neutral
287,2021-02-08,52972,40,South Africa suspends AstraZeneca vaccinations amid concern over efficacy,Vaccine,0.0,Neutral
288,2021-02-08,30613,51,"'No-one will be left behind' in vaccine rollout plan, Dr Colm Henry says ",Vaccine,-0.2,Negative
289,2021-02-07,100545,141,"Coronavirus: 12 deaths and 1,024 new cases confirmed in Ireland",Daily press announcement,0.2681818181818182,Positive
290,2021-02-07,33141,0,Reader Q&A: What impact will the AstraZeneca developments have on Ireland's vaccine roll-out?,Vaccine,0.0,Neutral
291,2021-02-06,108217,152,Coronavirus: 55 deaths and 827 new cases confirmed in Ireland,Daily press announcement,0.2681818181818182,Positive
292,2021-02-05,7996,8,One week in January saw more than 10% of all Covid-19 deaths up to that point,General news,0.5,Positive
293,2021-02-04,30884,41,Glynn says people are taking days to come forward for testing: The key points you need to know from tonight's NPHET briefing,General news,0.0,Neutral
294,2021-02-04,98444,166,"75 deaths and 1,318 new cases: Ireland has recorded over 200,000 Covid-19 infections",Daily press announcement,0.13636363636363635,Neutral
295,2021-02-04,61420,73,'Bear with us': HSE deals with rollout issues as Taoiseach pledges vaccination of over-70s will begin on time,Vaccine,0.0,Neutral
296,2021-02-04,17949,49,"152,200 first doses and 77,000 second doses of Covid-19 vaccine administered in Ireland",Vaccine,0.125,Neutral
297,2021-02-03,107143,84,"Coronavirus: 94 deaths and 1,013 new cases confirmed in Ireland",Daily press announcement,0.2681818181818182,Positive
298,2021-02-03,14702,6,GlaxoSmithKline and CureVac to make Covid vaccines targeting new variants,Vaccine,0.13636363636363635,Neutral
299,2021-02-03,27498,24,Over 500 Covid-19 patients receiving critical care in Irish hospitals ,General news,0.0,Neutral
300,2021-02-03,16789,26,WHO team visits virus lab in Wuhan as part of Covid-19 probe ,General news,0.0,Neutral
301,2021-02-02,144505,230,Coronavirus: 101 deaths and 879 new cases confirmed in Ireland,Daily press announcement,0.2681818181818182,Positive
302,2021-02-02,45731,101,"Ireland to get first 35,000 doses of Oxford-AstraZeneca vaccine next week",Vaccine,0.125,Neutral
303,2021-02-02,36406,83,Here's why NPHET believes Zero Covid wouldn't work in Ireland ,General news,0.0,Neutral
304,2021-02-01,15170,0,Reader Q&A: What do you want to know about the Covid-19 vaccines and their roll-out in Ireland?,Vaccine,0.0,Neutral
305,2021-01-29,65696,55, 'The refrigerators will be empty:' Has the EU vaccine strategy gone off the rails?,Vaccine,-0.1,Negative
306,2021-01-29,13995,4,Dr Colm Henry: There was a 10-fold increase in people sick with Covid from start of December to January,General news,-0.7142857142857143,Negative
307,2021-01-28,29048,78,"3% of the population have been vaccinated, as Covid hospitalisations continue to fall",Vaccine,0.0,Neutral
308,2021-01-27,25403,40,Donnelly says vaccine timeframe is 'realistic' as 217 people with Covid-19 in ICUs,Vaccine,0.16666666666666666,Positive
309,2021-01-26,141589,206,"Coronavirus: 90 deaths and 928 new cases confirmed, bringing the death toll in Ireland to over 3,000",Daily press announcement,0.2681818181818182,Positive
310,2021-01-26,58916,76,"Travellers into Ireland to be subject to mandatory quarantine at home or in a hotel, government says",Travel,-0.16666666666666666,Negative
311,2021-01-26,13377,10,"There are 1,823 people with Covid-19 in hospital, and 216 people in ICU",General news,0.0,Neutral
312,2021-01-26,76667,41,Germany joins AstraZeneca in rejecting 'completely incorrect' reports on Covid vaccine efficacy in elderly,Vaccine,0.1,Neutral
313,2021-01-26,40707,52,Second night of violence in the Netherlands amid anger over Covid-19 curfew,General news,-0.35,Negative
314,2021-01-25,61473,30,Glynn says quarantine plans 'welcome': The key points you need to know from tonight's NPHET briefing,Hotel quarantine,0.4,Positive
315,2021-01-25,20929,50,Three-quarters of people say they will take Covid-19 vaccine ,Vaccine,0.0,Neutral
316,2021-01-24,54155,83,"650 Covid-19 patients are receiving critical care, including 214 in ICU",General news,0.0,Neutral
317,2021-01-24,31231,34,"No deaths in Europe directly linked to Covid vaccine, experts say",Vaccine,0.1,Neutral
318,2021-01-23,221110,227,"Taoiseach says there will be restrictions for six months, schools may not reopen until March ",General news,0.0,Neutral
319,2021-01-22,23960,35,Explainer: Why is mandatory quarantine being debated again and what are other countries doing?,Hotel quarantine,-0.125,Negative
320,2021-01-22,89774,160,"Coronavirus: 52 deaths and 2,371 new cases confirmed in Ireland",Daily press announcement,0.2681818181818182,Positive
321,2021-01-22,16093,60,10% of all Covid-19 deaths in Ireland since beginning of pandemic occurred last week,General news,0.0,Neutral
322,2021-01-22,54297,83,'Is the care of the same standard? No': Hospitals under pressure as ICU capacity approaches surge limit,General news,0.0,Neutral
323,2021-01-21,107926,177,"'We still have a very large burden of infection': 51 deaths and 2,608 new cases of Covid-19 confirmed",Daily press announcement,0.27164502164502163,Positive
324,2021-01-21,89497,226,Taoiseach says restrictions will likely continue 'well into' February and possibly beyond ,General news,0.0,Neutral
325,2021-01-21,18531,40,Covid-19 deaths in US top WWII fatalities as Biden warns worst is yet to come,General news,-0.25,Negative
326,2021-01-21,49577,0,Factfind: What advice did NPHET give to Government around the closure of schools?,General news,0.0,Neutral
327,2021-01-20,116683,171,"Coronavirus: 61 deaths and 2,488 new cases confirmed in Ireland",Daily press announcement,0.2681818181818182,Positive
328,2021-01-20,25556,28,"There are 1,919 people with Covid-19 in hospital, with 210 in ICU",General news,0.0,Neutral
329,2021-01-20,11170,21,"UK strain of Covid-19 now in at least 60 countries, WHO confirms ",General news,-0.3,Negative
330,2021-01-19,136983,147,"Coronavirus: 93 deaths and 2,001 new cases confirmed in Ireland",Daily press announcement,0.2681818181818182,Positive
331,2021-01-19,35318,98,'We're well in the surge now for critical care': 202 people with Covid-19 are in ICU,General news,0.0,Neutral
332,2021-01-19,14333,26,All 18 private hospitals now signed up to surge capacity deal as Beacon accepts arrangement,General news,0.0,Neutral
333,2021-01-19,34847,40,Explainer: We're into our surge ICU capacity in hospitals - so what does that mean?,General news,-0.3125,Negative
334,2021-01-18,121989,198,"Coronavirus: Eight deaths and 2,121 new cases confirmed in Ireland",Daily press announcement,0.2681818181818182,Positive
335,2021-01-18,58123,88,"There are now 2,023 people with Covid-19 in hospital",General news,0.0,Neutral
336,2021-01-17,57171,0,"Looking for clear, up-to-date information on coronavirus and Ireland's response to it? Sign up to our newsletter",General news,0.10000000000000002,Neutral
337,2021-01-16,28405,0,Reader Q&A: Why it's not possible right now to say exactly when you might get your vaccine ,Vaccine,0.17857142857142858,Positive
338,2021-01-15,118612,63,'We are gravely concerned': Chief medical officers issue joint stay-at-home warning,General news,0.0,Neutral
339,2021-01-15,38114,64,"1,846 people with Covid-19 in hospital, latest figures show",General news,0.5,Positive
340,2021-01-14,116290,160,"Coronavirus: 28 deaths and 3,955 new cases confirmed in Ireland",Daily press announcement,0.2681818181818182,Positive
341,2021-01-14,47081,91,"1,792 Covid-19 patients in hospital as figure continues to surpass double previous peak",General news,-0.08333333333333333,Negative
342,2021-01-14,64345,0,Debunked: A comparison of deaths between January and October 2020 and other years is misleading,General news,-0.125,Negative
343,2021-01-14,58578,0,Factfind: Did the government actually follow NPHET's advice heading into December?,General news,0.0,Neutral
344,2021-01-13,51995,119,"'Level beyond comprehension': 1,750 people now in hospital with Covid-19",General news,0.0,Neutral
345,2021-01-13,28060,10,Explainer: What we know about the Oxford/AstraZeneca vaccine,Vaccine,0.0,Neutral
346,2021-01-12,147908,226,"Coronavirus: 46 deaths and 3,086 new cases confirmed in Ireland",Daily press announcement,0.2681818181818182,Positive
347,2021-01-12,39893,71,"1,700 Covid-19 patients in hospital and ICU figures surpass April peak",General news,0.0,Neutral
348,2021-01-11,112259,233,"Coronavirus: Eight deaths and 4,929 new cases confirmed in Ireland",Daily press announcement,0.2681818181818182,Positive
349,2021-01-11,73950,118,"More than 1,500 people in hospital with Covid-19 as Ireland reports more cases per capita than any other country",General news,0.2916666666666667,Positive
350,2021-01-09,357614,0,Debunked: Several claims about Covid-19 in a video featuring Dolores Cahill are false or misleading,,-0.20000000000000004,Negative
351,2021-01-09,61389,45,Q&A: The vaccine rollout has begun - we've been putting your latest questions to the experts,Vaccine,0.5,Positive
352,2021-01-08,37495,51,"New deal: Private hospitals agree to provide 30% capacity as 1,180 people hospitalised with Covid-19",General news,0.06818181818181818,Neutral
353,2021-01-08,166877,374,"Coronavirus: 20 deaths and 8,248 new cases as ICU numbers rise above 100",Daily press announcement,0.06818181818181818,Neutral
354,2021-01-07,38980,84,"'Sad milestone': More than 1,000 people now hospitalised with Covid-19",General news,0.0,Neutral
355,2021-01-06,38029,11,Childcare services to remain open but only for vulnerable groups and children of essential workers,General news,-0.125,Negative
356,2021-01-06,45755,61,921 now in hospital with Covid-19 as patient numbers exceed April 2020 peak,General news,0.0,Neutral
357,2021-01-05,90792,142,Hospitalisations reach 817 as HSE CEO says health service 'under real threat',General news,0.2,Positive
358,2021-01-05,43563,128,"Up to 135,000 people to be fully vaccinated by end of February, Taoiseach says",Vaccine,0.0,Neutral
359,2021-01-04,43191,63,"Partners no longer allowed to attend 20-week pregnancy scan, Rotunda announces ",General news,0.0,Neutral
360,2021-01-04,95931,71,Boris Johnson announces new national lockdown for England ,Lockdown,0.13636363636363635,Neutral
361,2021-01-04,66302,52,"'If you have flu-like symptoms, assume it's Covid and self-isolate', Holohan warns ",General news,0.0,Neutral
362,2021-01-04,185779,451,"Coronavirus: Six deaths and 6,110 new cases confirmed in Ireland",Daily press announcement,0.2681818181818182,Positive
363,2021-01-04,46657,39,Northern Ireland set for further restrictions as 'urgent decisive action' needed to stem virus surge,General news,0.05,Neutral
364,2021-01-04,90793,106,"Daily case numbers could increase to 7,000 in coming days, HSE CEO says",General news,0.0,Neutral
365,2021-01-02,265535,508,"Coronavirus: 4 deaths and a record high of 3,394 new cases confirmed",Daily press announcement,0.23212121212121214,Positive
366,2021-01-02,101665,131,'Prepare ourselves for some quite worrying numbers': Nolan warns of an increase in case and hospital numbers,General news,0.0,Neutral
367,2021-01-02,103696,82,Highest number of Covid-19 hospital admissions recorded in the last 24 hours,General news,0.0,Neutral
368,2020-12-31,86856,130,Covid-19 close contacts no longer advised to get tested but still told to restrict movements,General news,0.0,Neutral
369,2020-12-31,111257,165,"Coronavirus: 12 deaths and 1,620 new Covid-19 cases confirmed in Ireland",General news,0.2681818181818182,Positive
370,2020-12-31,32849,135,"People must 'look at their plans' and reduce contacts as Ireland battles third wave, Holohan says",General news,0.0,Neutral
371,2020-12-30,130257,292,"'Stay home': 13 deaths and 1,718 new Covid-19 cases confirmed in Ireland",General news,0.2681818181818182,Positive
