Date,Age,Volume
01/04/2020,Aged25to34,513
01/04/2020,Aged35to44,541
01/04/2020,Aged45to54,553
01/04/2020,Aged55to64,436
02/04/2020,Aged1to4,19
02/04/2020,Aged5to14,29
02/04/2020,Aged15to24,211
02/04/2020,Aged25to34,558
02/04/2020,Aged35to44,607
02/04/2020,Aged45to54,603
02/04/2020,Aged55to64,475
03/04/2020,Aged1to4,20
03/04/2020,Aged5to14,29
03/04/2020,Aged15to24,229
03/04/2020,Aged25to34,612
03/04/2020,Aged35to44,675
03/04/2020,Aged45to54,685
03/04/2020,Aged55to64,530
04/04/2020,Aged1to4,21
04/04/2020,Aged5to14,32
04/04/2020,Aged15to24,249
04/04/2020,Aged25to34,670
04/04/2020,Aged35to44,742
04/04/2020,Aged45to54,759
04/04/2020,Aged55to64,577
05/04/2020,Aged1to4,24
05/04/2020,Aged5to14,34
05/04/2020,Aged15to24,264
05/04/2020,Aged25to34,739
05/04/2020,Aged35to44,799
05/04/2020,Aged45to54,823
05/04/2020,Aged55to64,640
06/04/2020,Aged1to4,24
06/04/2020,Aged5to14,35
06/04/2020,Aged15to24,281
06/04/2020,Aged25to34,808
06/04/2020,Aged35to44,892
06/04/2020,Aged45to54,901
06/04/2020,Aged55to64,688
07/04/2020,Aged1to4,30
07/04/2020,Aged5to14,38
07/04/2020,Aged15to24,341
07/04/2020,Aged25to34,935
07/04/2020,Aged35to44,1037
07/04/2020,Aged45to54,1040
07/04/2020,Aged55to64,786
08/04/2020,Aged1to4,30
08/04/2020,Aged5to14,41
08/04/2020,Aged15to24,358
08/04/2020,Aged25to34,997
08/04/2020,Aged35to44,1104
08/04/2020,Aged45to54,1109
08/04/2020,Aged55to64,837
09/04/2020,Aged1to4,33
09/04/2020,Aged5to14,43
09/04/2020,Aged15to24,378
09/04/2020,Aged25to34,1089
09/04/2020,Aged35to44,1167
09/04/2020,Aged45to54,1211
09/04/2020,Aged55to64,913
10/04/2020,Aged1to4,36
10/04/2020,Aged5to14,45
10/04/2020,Aged15to24,416
10/04/2020,Aged25to34,1204
10/04/2020,Aged35to44,1294
10/04/2020,Aged45to54,1328
10/04/2020,Aged55to64,1002
11/04/2020,Aged1to4,39
11/04/2020,Aged5to14,52
11/04/2020,Aged15to24,464
11/04/2020,Aged25to34,1322
11/04/2020,Aged35to44,1405
11/04/2020,Aged45to54,1465
11/04/2020,Aged55to64,1124
12/04/2020,Aged1to4,44
12/04/2020,Aged5to14,56
12/04/2020,Aged15to24,518
12/04/2020,Aged25to34,1461
12/04/2020,Aged35to44,1545
12/04/2020,Aged45to54,1593
12/04/2020,Aged55to64,1237
13/04/2020,Aged1to4,47
13/04/2020,Aged5to14,67
13/04/2020,Aged15to24,585
13/04/2020,Aged25to34,1628
13/04/2020,Aged35to44,1737
13/04/2020,Aged45to54,1792
13/04/2020,Aged55to64,1396
14/04/2020,Aged1to4,54
14/04/2020,Aged5to14,80
14/04/2020,Aged15to24,664
14/04/2020,Aged25to34,1786
14/04/2020,Aged35to44,1905
14/04/2020,Aged45to54,1961
14/04/2020,Aged55to64,1508
15/04/2020,Aged1to4,59
15/04/2020,Aged5to14,94
15/04/2020,Aged15to24,727
15/04/2020,Aged25to34,1927
15/04/2020,Aged35to44,2059
15/04/2020,Aged45to54,2132
15/04/2020,Aged55to64,1621
16/04/2020,Aged1to4,70
16/04/2020,Aged5to14,122
16/04/2020,Aged15to24,798
16/04/2020,Aged25to34,2119
16/04/2020,Aged35to44,2285
16/04/2020,Aged45to54,2362
16/04/2020,Aged55to64,1782
17/04/2020,Aged1to4,70
17/04/2020,Aged5to14,134
17/04/2020,Aged15to24,835
17/04/2020,Aged25to34,2202
17/04/2020,Aged35to44,2384
17/04/2020,Aged45to54,2467
17/04/2020,Aged55to64,1875
18/04/2020,Aged1to4,75
18/04/2020,Aged5to14,140
18/04/2020,Aged15to24,882
18/04/2020,Aged25to34,2300
18/04/2020,Aged35to44,2490
18/04/2020,Aged45to54,2624
18/04/2020,Aged55to64,1982
19/04/2020,Aged1to4,77
19/04/2020,Aged5to14,152
19/04/2020,Aged15to24,943
19/04/2020,Aged25to34,2440
19/04/2020,Aged35to44,2628
19/04/2020,Aged45to54,2789
19/04/2020,Aged55to64,2092
20/04/2020,Aged1to4,81
20/04/2020,Aged5to14,159
20/04/2020,Aged15to24,989
20/04/2020,Aged25to34,2526
20/04/2020,Aged35to44,2710
20/04/2020,Aged45to54,2908
20/04/2020,Aged55to64,2152
21/04/2020,Aged1to4,81
21/04/2020,Aged5to14,159
21/04/2020,Aged15to24,999
21/04/2020,Aged25to34,2550
21/04/2020,Aged35to44,2746
21/04/2020,Aged45to54,2936
21/04/2020,Aged55to64,2173
22/04/2020,Aged1to4,85
22/04/2020,Aged5to14,166
22/04/2020,Aged15to24,1029
22/04/2020,Aged25to34,2603
22/04/2020,Aged35to44,2805
22/04/2020,Aged45to54,2998
22/04/2020,Aged55to64,2217
23/04/2020,Aged1to4,86
23/04/2020,Aged5to14,170
23/04/2020,Aged15to24,1058
23/04/2020,Aged25to34,2667
23/04/2020,Aged35to44,2881
23/04/2020,Aged45to54,3077
23/04/2020,Aged55to64,2271
24/04/2020,Aged1to4,89
24/04/2020,Aged5to14,173
24/04/2020,Aged15to24,1117
24/04/2020,Aged25to34,2788
24/04/2020,Aged35to44,2990
24/04/2020,Aged45to54,3228
24/04/2020,Aged55to64,2365
25/04/2020,Aged1to4,90
25/04/2020,Aged5to14,177
25/04/2020,Aged15to24,1149
